english,santhali
"I am waking up early. ","ᱤᱧ ᱥᱮᱛᱟᱜ ᱨᱮᱧ ᱵᱮᱨᱮᱫ ᱠᱟᱱᱟ᱾ "
"She is preparing breakfast. ","ᱩᱱᱤ ᱵᱟᱹᱥᱠᱟᱹᱜ ᱡᱚᱢᱟᱜ ᱮ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ᱾ "
"He is going to work. ","ᱩᱱᱤ ᱠᱟᱹᱢᱤ ᱞᱟᱹᱜᱤᱫ ᱥᱮᱱᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"They are playing in the garden. ","ᱩᱱᱠᱩ ᱵᱟᱜᱟᱱ ᱨᱮᱠᱚ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟ᱾ "
"We are visiting the museum. ","ᱟᱞᱮ ᱢᱭᱩᱡᱤᱭᱟᱢ ᱞᱮ ᱧᱮᱞ ᱮᱫᱟ᱾ "
"The sun is setting. ","ᱥᱤᱛᱩᱝ ᱫᱚ ᱧᱩᱨᱩᱜ ᱠᱟᱱᱟ᱾ "
"The sky is pink. ","ᱥᱮᱨᱢᱟ ᱫᱚ ᱜᱩᱞᱟᱯᱤ ᱜᱮᱭᱟ ᱾ "
"I like to drink coffee. ","ᱤᱧ ᱠᱚᱯᱷᱤ ᱧᱩᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"He is my neighbor. ","ᱩᱱᱤ ᱤᱧᱤᱡ ᱯᱩᱲᱥᱟ. ᱠᱟᱱᱟᱭ ᱾ "
"She enjoys painting. ","ᱩᱱᱤ ᱯᱮᱱᱴᱤᱝ ᱨᱮ ᱨᱟᱹᱥᱠᱟᱹᱭ ᱵᱩᱡᱷᱟᱹᱣᱟ᱾ "
"The cat is running. ","ᱯᱩᱥᱤ ᱫᱚ ᱧᱤᱨ ᱠᱟᱱᱟᱭ ᱾ "
"The dog is jumping. ","ᱥᱮᱛᱟ ᱫᱚ ᱫᱚᱱ ᱠᱟᱱᱟᱭ ᱾ "
"I feel excited. ","ᱤᱧ ᱩᱢᱡᱷᱟᱹᱣ ᱟᱹᱭᱠᱟᱹᱣ ᱮᱫᱟᱹᱧ ᱾ "
"We are traveling to the city. ","ᱟᱞᱮ ᱥᱚᱦᱚᱨ ᱥᱮᱫ ᱞᱮ ᱫᱟᱬᱟᱱ ᱠᱟᱱᱟ᱾ "
"They are eating snacks. ","ᱩᱱᱠᱩ ᱫᱚ ᱥᱱᱮᱠᱥ ᱠᱚ ᱡᱚᱢ ᱮᱫᱟ᱾ "
"I have a notebook. ","ᱤᱧ ᱴᱷᱮᱱ ᱢᱤᱫ ᱱᱚᱴᱵᱚᱦᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾ "
"She has a pencil. ","ᱩᱱᱤ ᱴᱷᱮᱱ ᱢᱤᱫ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾ "
"He is drawing a picture. ","ᱩᱱᱤ ᱢᱤᱫ ᱪᱤᱛᱟᱹᱨ ᱮ ᱟᱸᱠᱟᱣ ᱮᱫᱟ᱾ "
"The flowers are blooming. ","ᱵᱟᱦᱟ ᱠᱚ ᱢᱟᱦᱟ ᱮᱱᱟ ᱾ "
"I am walking to school. ","ᱤᱧ ᱟᱥᱲᱟ ᱥᱮᱫ ᱤᱧ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾ "
"They are singing loudly. ","ᱩᱱᱠᱩ ᱟᱹᱰᱤ ᱟᱲᱟᱝ ᱠᱚ ᱥᱮᱨᱮᱧ ᱮᱫᱟ᱾ "
"He is running in the park. ","ᱩᱱᱤ ᱯᱟᱨᱠ ᱨᱮ ᱫᱟᱹᱲ ᱠᱟᱱᱟᱭ ᱾ "
"I like to eat bananas. ","ᱤᱧ ᱠᱮᱞᱟ ᱡᱚᱢ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"She is drinking milk. ","ᱩᱱᱤ ᱛᱚᱣᱟ ᱧᱩᱭ ᱠᱟᱱᱟᱭ ᱾ "
"We are watching a show. ","ᱟᱞᱮ ᱢᱤᱫ ᱥᱳ ᱞᱮ ᱧᱮᱞ ᱮᱫᱟ᱾ "
"The river is wide. ","ᱜᱟᱰᱟ ᱫᱚ ᱚᱥᱟᱨ ᱜᱮᱭᱟ ᱾ "
"The baby is sleeping. ","ᱜᱤᱫᱽᱨᱟᱹ ᱫᱚ ᱡᱟᱹᱯᱤᱫ ᱠᱟᱱᱟᱭ ᱾ "
"He is playing soccer. ","ᱩᱱᱤ ᱥᱚᱠᱟᱨ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"I am listening to a podcast. ","ᱤᱧ ᱢᱤᱫ ᱯᱚᱰᱠᱟᱥᱴ ᱟᱸᱡᱚᱢ ᱮᱫᱟᱹᱧ ᱾ "
"She is cooking dinner. ","ᱩᱱᱤ ᱠᱮᱫᱚᱜ ᱡᱚᱢᱟᱜ ᱮ ᱤᱥᱤᱱ ᱮᱫᱟ᱾ "
"We are planting vegetables. ","ᱟᱞᱮ ᱩᱛᱩ ᱡᱤᱱᱤᱥ ᱞᱮ ᱨᱚᱦᱚᱭ ᱮᱫᱟ᱾ "
"He is cleaning his room. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱠᱟᱸᱫᱷᱟ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱭ ᱾ "
"The bird is chirping. ","ᱪᱮᱬᱮ ᱪᱤᱪᱤ ᱠᱟᱱᱟᱭ ᱾ "
"I am studying math. ","ᱤᱧ ᱮᱞᱠᱷᱟ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱹᱧ ᱾ "
"They are swimming in the pool. ","ᱩᱱᱠᱩ ᱯᱩᱞ ᱨᱮᱠᱚ ᱯᱟᱭᱨᱟᱜ ᱠᱟᱱᱟ᱾ "
"She is drawing a flower. ","ᱩᱱᱤ ᱢᱤᱫ ᱵᱟᱦᱟ ᱟᱸᱠᱟᱣ ᱮᱫᱟᱭ ᱾ "
"He is talking with his friend. ","ᱩᱱᱤ ᱟᱡ ᱨᱮᱱ ᱜᱟᱛᱮ ᱥᱟᱶ ᱨᱚᱯᱚᱲ ᱠᱟᱱᱟᱭ ᱾ "
"We are walking to the shop. ","ᱟᱞᱮ ᱫᱚᱠᱟᱱ ᱥᱮᱫ ᱞᱮ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾ "
"I am feeling tired. ","ᱤᱧ ᱞᱟᱝᱜᱟ ᱟᱹᱭᱠᱟᱹᱣ ᱮᱫᱟᱹᱧ ᱾ "
"The sky is grey. ","ᱥᱮᱨᱢᱟ ᱫᱚ ᱠᱟᱵᱽᱨᱟ ᱜᱮᱭᱟ ᱾ "
"She is wearing a scarf. ","ᱩᱱᱤ ᱥᱠᱟᱨᱯ ᱦᱚᱨᱚᱜ ᱟᱠᱟᱫᱟᱭ ᱾ "
"He is wearing gloves. ","ᱩᱱᱤ ᱜᱞᱚᱵᱽ ᱦᱚᱨᱚᱜ ᱟᱠᱟᱫᱟᱭ ᱾ "
"I like to read novels. ","ᱤᱧ ᱜᱟᱢᱟᱢ ᱯᱟᱲᱦᱟᱣ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"They are dancing at the party. ","ᱩᱱᱠᱩ ᱯᱟᱨᱴᱤ ᱨᱮᱠᱚ ᱮᱱᱮᱡ ᱠᱟᱱᱟ ᱾ "
"He is drinking juice. ","ᱩᱱᱤ ᱨᱚᱥ ᱧᱩᱭ ᱠᱟᱱᱟᱭ ᱾ "
"I am writing a journal. ","ᱤᱧ ᱢᱤᱫ ᱯᱟᱛᱷᱟᱢ ᱚᱞ ᱮᱫᱟᱹᱧ ᱾ "
"She is brushing her hair. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱩᱵ ᱵᱽᱨᱟᱥ ᱮᱫᱟᱭ ᱾ "
"The sun is bright. ","ᱥᱤᱛᱩᱝ ᱫᱚ ᱛᱮᱡᱽᱞᱟᱯ ᱜᱮᱭᱟ ᱾ "
"We are traveling by bus. ","ᱟᱞᱮ ᱵᱟᱥ ᱛᱮ ᱞᱮ ᱫᱟᱬᱟᱱ ᱠᱟᱱᱟ᱾ "
"He is fixing the chair. ","ᱩᱱᱤ ᱢᱟᱹᱪᱤ ᱴᱷᱤᱠ ᱮᱫᱟᱭ ᱾ "
"I like to eat bread. ","ᱤᱧ ᱯᱤᱴᱷᱟᱹ ᱡᱚᱢ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"She is riding a scooter. ","ᱩᱱᱤ ᱥᱠᱩᱴᱟᱨ ᱪᱟᱹᱞᱩ ᱠᱟᱱᱟᱭ ᱾ "
"They are cleaning the kitchen. ","ᱩᱱᱠᱩ ᱫᱟᱠᱟ ᱚᱲᱟᱜ ᱠᱚ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"The dog is sleeping. ","ᱥᱮᱛᱟ ᱫᱚ ᱡᱟᱹᱯᱤᱫ ᱠᱟᱱᱟᱭ ᱾ "
"I am drawing a tree. ","ᱤᱧ ᱢᱤᱫ ᱫᱟᱨᱮ ᱪᱤᱛᱟᱹᱨ ᱮᱫᱟᱹᱧ ᱾ "
"She is planting a sapling. ","ᱩᱱᱤ ᱢᱤᱫ ᱫᱟᱨᱮ ᱫᱟᱨᱮ ᱨᱚᱦᱚᱭ ᱠᱟᱱᱟᱭ ᱾ "
